id,index_name,index_strike_price,option_type,expiry,entry_start_price,entry_end_price,exit_first_target_price,exit_second_target_price,exit_third_target_price,exit_stop_loss_price,created_at_time,order_id,order_status,quantity,metadata,entry_type
1848,BANKNIFTY,45100,CE,5JUN,44957,45140,45370,45600,45829,44957,2024-02-13 06:55:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 2, ""profit_percent"": 0.006104462154483586, ""trade_entered"": true}",PULL_BACK_STRATEGY
1849,BANKNIFTY,45300,PE,5JUN,-45430,-45268,-45066,-44863,-44661,-45430,2024-02-13 07:56:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 1, ""profit_percent"": 0.003576422561284098, ""trade_entered"": true}",PULL_BACK_STRATEGY
1850,BANKNIFTY,45200,CE,5JUN,44984,45277,45642,46008,46374,44984,2024-02-14 03:45:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 2, ""profit_percent"": 0.00969719725246809, ""trade_entered"": true}",PULL_BACK_STRATEGY
1851,BANKNIFTY,45300,PE,5JUN,-45336,-45180,-44984,-44788,-44593,-45336,2024-02-14 05:26:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 0, ""profit_percent"": 0, ""trade_entered"": false}",PULL_BACK_STRATEGY
1852,BANKNIFTY,45600,CE,5JUN,45413,45547,45715,45882,46049,45413,2024-02-14 08:01:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 3, ""profit_percent"": 0.0051442716709385935, ""trade_entered"": true}",PULL_BACK_STRATEGY
1853,BANKNIFTY,45600,PE,5JUN,-45666,-45598,-45512,-45426,-45340,-45666,2024-02-14 08:44:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 0, ""profit_percent"": 0, ""trade_entered"": false}",PULL_BACK_STRATEGY
1854,BANKNIFTY,45800,CE,5JUN,45588,45800,46065,46329,46594,45588,2024-02-15 04:14:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 2, ""profit_percent"": 0.0069366433589336945, ""trade_entered"": true}",PULL_BACK_STRATEGY
1855,BANKNIFTY,46400,CE,5JUN,46264,46343,46442,46540,46639,46264,2024-02-16 06:13:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 3, ""profit_percent"": 0.0029831680273437293, ""trade_entered"": true}",PULL_BACK_STRATEGY
1856,BANKNIFTY,46400,CE,5JUN,46290,46444,46636,46829,47021,46290,2024-02-16 08:43:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 1, ""profit_percent"": 0.003313639534583318, ""trade_entered"": true}",PULL_BACK_STRATEGY
1857,BANKNIFTY,46700,CE,5JUN,46558,46619,46695,46771,46846,46558,2024-02-19 09:18:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.001302035852104265, ""trade_entered"": true}",PULL_BACK_STRATEGY
1858,BANKNIFTY,46500,PE,5JUN,-46643,-46566,-46469,-46372,-46275,-46643,2024-02-20 04:08:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 1, ""target_hit_cnt"": 0, ""profit_percent"": -0.0016621497996401134, ""trade_entered"": true}",PULL_BACK_STRATEGY
1859,BANKNIFTY,46600,PE,5JUN,-46643,-46566,-46469,-46372,-46275,-46643,2024-02-20 04:38:00,,ANALYSE,50,"{""forced_risk"": 1000, ""sl_hit_cnt"": 0, ""target_hit_cnt"": 0, ""profit_percent"": 0, ""trade_entered"": false}",PULL_BACK_STRATEGY
